sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key	clinical_evidence	clinical_status	variant_count
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000002330	BAD	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000002549	LAP3	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000004864	SLC25A13	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	likely_benign	likely_benign	4
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000005022	SLC25A5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	5
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000005059	MCUB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000005469	CROT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000005882	PDK2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000006282	SPATA20	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000006695	COX10	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000007923	DNAJC11	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000008311	AASS	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000008405	CRY1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000011376	LARS2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	4
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000014824	SLC30A9	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	3
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000016391	CHDH	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000021826	CPS1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	3
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000025772	TOMM34	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000027001	MIPEP	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000029639	TFB1M	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000036473	OTC	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000037474	NSUN2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000042286	AIFM2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000048544	MRPS10	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000048707	VPS13D	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000048707	VPS13D	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000050393	MCUR1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000050426	LETMD1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000051341	POLQ	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	6
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000051341	POLQ	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000059691	GATB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000060971	ACAA1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000061794	MRPS35	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000061794	MRPS35	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000063241	ISOC2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000065154	OAT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000065427	KARS1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	likely_benign	likely_benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000066813	ACSM2B	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	3
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000066855	MTFR1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	6
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000066926	FECH	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000067064	IDI1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000068120	COASY	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000068120	COASY	mitocarta	1	mitocarta	True	False	ensembl_gene_id	likely_benign	likely_benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000069535	MAOB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000069998	HDHD5	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000072210	ALDH3A2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000072756	TRNT1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000073578	SDHA	mitocarta	1	mitocarta	True	False	ensembl_gene_id	likely_benign	likely_benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000073578	SDHA	mitocarta	1	mitocarta	True	False	ensembl_gene_id	vus	vus	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000074071	MRPS34	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000076555	ACACB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	13
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000077713	SLC25A43	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000078070	MCCC1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000078618	NRDC	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	3
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000080819	CPOX	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000081177	EXD2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000081791	DELE1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000084090	STARD7	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000085760	MTIF2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000087157	PGS1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000087299	L2HGDH	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000087470	DNM1L	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	4
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000088766	CRLS1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000088888	MAVS	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000089060	SLC8B1	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000090857	PDPR	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000090857	PDPR	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	5
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000091140	DLD	mitocarta	1	mitocarta	True	False	ensembl_gene_id	likely_benign	likely_benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000093010	COMT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000093010	COMT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	vus	vus	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000095321	CRAT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000099795	NDUFB7	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000099800	TIMM13	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000099821	POLRMT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	benign	benign	1
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000099821	POLRMT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	2
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	ENSG00000099968	BCL2L13	mitocarta	1	mitocarta	True	False	ensembl_gene_id	missing	missing	1
